biome_types,year,grazing,plots,alphaD,betaD,gammaD,alphaD2,betaD2,gammaD2,biomass,sd_biomass,dominants_biomass,dominants_abundance
Grasslands,2017,NG,6,4.8,2.083333333,10,1.240240696,1.015633478,1.259629972,60.542,4.4633264,53.816,88.89035711
Grasslands,2017,NG,7,3.4,2.352941176,8,1.013232529,0.998631276,1.011845694,68.062,7.4839134,67.662,99.41230055
Grasslands,2017,NG,8,3.4,2.352941176,8,1.053473776,0.996373291,1.049653133,70.456,6.5235636,68.764,97.59850119
Grasslands,2017,NG,9,5,1.8,9,1.34409957,1.122004992,1.508086428,93.442,6.3550224,75.128,80.40067636
Grasslands,2017,NG,10,4,2.5,10,1.056680602,1.009557579,1.06677991,123.938,11.1523118,119.976,96.80324033
Grasslands,2017,MG,11,4.2,2.619047619,11,1.193273842,1.038919862,1.239715895,28.518,2.8747768,25.572,89.66968231
Grasslands,2017,HG,12,3.4,2.647058824,9,1.153087289,1.388996994,1.601634777,22.52,2.0026464,17,75.48845471
Grasslands,2017,MG,13,3.4,2.352941176,8,1.053430224,1.00440768,1.058073407,19.302,1.941779,18.76,97.19200083
Grasslands,2017,MG,14,3.4,2.058823529,7,1.057222965,0.982343954,1.038556588,25.332,2.8802024,24.856,98.12095373
Grasslands,2017,HG,15,3.6,2.222222222,8,1.017266903,1.001209842,1.018497635,36.106,3.4249398,35.776,99.08602448
Grasslands,2017,MG,16,5,2.6,13,1.020169421,0.99242996,1.012446698,42.148,3.9422212,41.888,99.38312613
Grasslands,2017,HG,17,3.4,2.352941176,8,1.01394948,1.000681014,1.014639994,22.08,2.1858876,21.92,99.27536232
Grasslands,2017,HG,18,3.6,1.944444444,7,1.023167846,1.002583577,1.025811279,23.166,2.1616638,22.872,98.73089873
Grasslands,2017,MG,19,3.6,1.944444444,7,1.064702826,0.983407973,1.047037247,28.388,2.713594,27.74,97.71734536
Grasslands,2017,HG,20,6,1.833333333,11,1.582685066,1.060417324,1.678306663,11.118,0.671861,8.374,75.31930203
Grasslands,2018,NG,6,7.2,1.805555556,13,1.748244624,1.079097775,1.886526884,28.2444,1.39523,19.978,70.7326054
Grasslands,2018,NG,7,5.6,2.142857143,12,1.25485701,1.005257256,1.261454114,54.8898,3.7731448,48.806,88.91633783
Grasslands,2018,NG,8,4.8,1.458333333,7,1.208438411,1.006970754,1.216862138,52.2942,3.950641,47.344,90.53394067
Grasslands,2018,NG,9,5.2,2.115384615,11,1.340697888,1.029476758,1.380217316,68.7664,4.67933,58.31,84.79431816
Grasslands,2018,NG,10,7.2,1.388888889,10,2.915770727,1.135723734,3.311510016,40.7378,1.3921394,19.7,48.35803603
Grasslands,2018,MG,11,6.2,1.774193548,11,1.443283881,1.088995279,1.571729332,19.6918,1.1596976,15.218,77.28089865
