biome_types,grazing,GI,plots,dominants_abun,dominants_sta,alphaD,betaD,gammaD,alphaD2,betaD2,gammaD2,spe_sta,alpha_sta,gamma_sta,spe_asy,spa_asy
Grasslands,NG,1,6,73.52288,2.495226882,5.76,2.013888889,11.6,1.578966355,1.047151808,1.653417474,1.149238359,2.530310401,3.082689501,2.20172811,1.218304877
Grasslands,NG,1,7,80.05559,2.502634869,4.8,2.166666667,10.4,1.35477113,1.035519547,1.402891987,1.243837573,3.258031417,5.097492871,2.619338318,1.564592915
Grasslands,NG,1,8,78.7747,2.129752904,4.6,1.913043478,8.8,1.325505638,1.029864917,1.365091754,1.206762361,3.936666246,6.389890943,3.262171885,1.623173148
Grasslands,NG,1,9,71.3436,1.897597154,5.2,2.076923077,10.8,1.470228427,1.072661816,1.577057895,1.057206489,3.128837849,6.302558762,2.959533338,2.014344963
Grasslands,NG,1,10,62.07733,1.147993991,5.92,1.722972973,10.2,1.751775721,1.039409022,1.820811488,0.823797743,2.280938929,2.492558787,2.768809395,1.09277752
Grasslands,MG,2,11,72.61828,3.753236914,5.04,2.063492063,10.4,1.492701206,1.092390658,1.630612853,0.992530465,1.527283917,1.878750433,1.538777872,1.230125199
Grasslands,HG,3,12,57.09246,2.119055495,5.16,2.131782946,11,1.526532661,1.242498656,1.896714779,0.902764926,1.921860656,2.178028495,2.12886057,1.133291578
Grasslands,MG,2,13,76.13997,3.775349156,4.72,2.161016949,10.2,1.370516339,1.094043393,1.499404346,1.314059007,2.612611538,3.152505526,1.988199558,1.206649163
Grasslands,MG,2,14,83.43591,4.31155279,4.68,2.051282051,9.6,1.295993802,1.028599514,1.333058595,1.282601313,2.219634844,3.253160798,1.730572721,1.46562882
Grasslands,HG,3,15,78.05854,1.706044429,5.16,1.860465116,9.6,1.308081861,1.141397335,1.493041151,1.101911379,1.632876,2.09870607,1.481857826,1.285281962
Grasslands,MG,2,16,78.60185,1.677974363,5.8,2.068965517,12,1.350668427,1.046575108,1.413575955,0.923552235,1.67266455,2.08901212,1.811120678,1.248912772
Grasslands,HG,3,17,84.92402,2.455904666,5.68,1.866197183,10.6,1.261799465,1.020424334,1.287570879,1.085836371,1.467051131,1.558100484,1.35107938,1.062062835
Grasslands,HG,3,18,81.3579,1.674312354,5.52,1.956521739,10.8,1.315644512,1.04846188,1.379403119,1.024207756,1.635310116,1.704799112,1.596658594,1.042492855
Grasslands,MG,2,19,81.6573,2.788753601,5.52,1.884057971,10.4,1.349185742,1.015185273,1.369673497,1.213458664,2.104838422,2.343057932,1.734577769,1.113177101
Grasslands,HG,3,20,49.87481,1.917033084,7.64,1.727748691,13.2,2.468778043,1.186578878,2.92939988,0.847693255,1.310960019,1.34339038,1.546502832,1.024737872
Shrublands,HG,3,1,34.01228,0.834854964,5.48,2.00729927,11,1.727460107,1.091365887,1.885291031,0.715305256,1.088869237,1.392528499,1.522244144,1.278875784
Shrublands,MG,2,2,26.96634,2.316672857,6.84,1.783625731,12.2,2.300908831,1.139993491,2.62302109,0.856764899,1.537396122,2.664483303,1.794420062,1.733114364
Shrublands,MG,2,3,38.94322,1.177573021,6.12,2.058823529,12.6,1.825954826,1.334153125,2.436103337,0.821131765,1.668622444,2.590433505,2.032100713,1.552438369
Shrublands,HG,3,4,41.9391,1.267410151,4.72,1.694915254,8,1.848631896,1.306776747,2.415749175,0.811129262,1.282105598,1.624680062,1.580642764,1.267196761
Shrublands,HG,3,5,20.36597,1.245352331,5.32,2.180451128,11.6,1.855206842,1.219456285,2.262343644,0.832149599,1.693110864,2.224109228,2.034623181,1.313622914
Shrublands,MG,2,6,68.39994,1.635237628,5.36,1.828358209,9.8,1.628967124,1.08819756,1.772638049,1.070986422,1.462892018,1.578541743,1.365929566,1.079055544
Shrublands,MG,2,7,61.13533,1.448119466,6.68,1.946107784,13,1.79700657,1.284020336,2.307392979,0.953475634,1.685661233,1.80734552,1.767912229,1.072187866
Shrublands,HG,3,8,54.18427,2.976515407,5.56,2.158273381,12,1.772472668,1.216421815,2.15607442,1.048947297,1.705823569,2.182028707,1.626224286,1.279164356
Shrublands,MG,2,9,67.65306,1.138721832,7.24,1.906077348,13.8,1.57957711,1.143441024,1.806153268,1.012927851,1.411778262,1.492182147,1.393759941,1.056952205
Shrublands,HG,3,10,51.69781,1.675584416,5.88,1.972789116,11.6,1.70425671,1.287981362,2.195050879,0.901318627,2.096648,2.739183598,2.326200677,1.306458498
Shrublands,NG,1,11,42.36139,1.647685824,7.24,1.79558011,13,2.296498001,1.302197088,2.990493009,0.936835351,1.803858971,2.229731792,1.925481322,1.236089866
Shrublands,NG,1,12,51.60188,1.194072942,6.4,1.8125,11.6,2.067764525,1.35845123,2.808957262,0.800934578,1.154052766,1.360888845,1.440882685,1.179225842
Shrublands,NG,1,13,80.78198,2.248823002,5.64,2.021276596,11.4,1.447839128,1.010515256,1.463063527,1.368003279,2.009070018,2.321101783,1.468614914,1.155311543
Shrublands,NG,1,14,76.44005,1.547954455,6.12,1.764705882,10.8,1.476589459,1.088017624,1.606555355,1.14236181,1.613687959,1.875223278,1.412589204,1.162073044
Shrublands,NG,1,15,84.76685,2.202131559,4.76,1.680672269,8,1.397520229,1.045475983,1.461073836,1.474656935,1.93233461,2.28110645,1.310362135,1.180492467
