biome_types,grazing,GI,plots,dominants_abun,dominants_sta,alphaD,betaD,gammaD,alphaD2,betaD2,gammaD2,spe_sta,alpha_sta,gamma_sta,spe_asy,spa_asy
Grasslands,NG,1,6,4.29759665,0.91437966,1.750937475,0.700067623,2.451005098,0.456770428,0.046073915,0.502844342,0.139099427,0.928341983,1.12580243,0.789242557,0.197460447
Grasslands,NG,1,7,4.382721268,0.917344125,1.568615918,0.773189888,2.341805806,0.303632532,0.034903278,0.338535811,0.218201418,1.181123153,1.628748825,0.962921735,0.447625672
Grasslands,NG,1,8,4.366591879,0.756005965,1.526056303,0.648695418,2.174751721,0.281794,0.029427645,0.311221646,0.187941039,1.370334235,1.854717201,1.182393196,0.484382967
Grasslands,NG,1,9,4.267507641,0.64058843,1.648658626,0.730887509,2.379546134,0.385417782,0.070143238,0.455561019,0.055630042,1.140661641,1.840955704,1.0850316,0.700294062
Grasslands,NG,1,10,4.128380866,0.138016064,1.778336449,0.544051271,2.32238772,0.560629971,0.038652303,0.599282274,-0.193830237,0.824587169,0.913309808,1.018417406,0.088722639
Grasslands,MG,2,11,4.285216681,1.322618645,1.617406082,0.724399724,2.341805806,0.400587369,0.088368559,0.488955927,-0.007497571,0.42349094,0.630606893,0.430988512,0.207115952
Grasslands,HG,3,12,4.044672059,0.750970468,1.640936579,0.756958693,2.397895273,0.422998929,0.217124397,0.640123326,-0.102293085,0.653293808,0.778420107,0.755586893,0.125126299
Grasslands,MG,2,13,4.332573357,1.32849287,1.5518088,0.770578921,2.32238772,0.315187559,0.089880368,0.405067927,0.273120826,0.96035031,1.148197542,0.687229485,0.187847232
Grasslands,MG,2,14,4.424078792,1.461298115,1.54329811,0.718464989,2.261763098,0.259277816,0.028198182,0.287475998,0.248890292,0.797342698,1.179627077,0.548452406,0.382284379
Grasslands,HG,3,15,4.357459058,0.534177492,1.640936579,0.620826519,2.261763098,0.268561836,0.132253244,0.400815081,0.097046289,0.490342877,0.741320998,0.393296588,0.25097812
Grasslands,MG,2,16,4.364395236,0.51758733,1.757857918,0.727048732,2.48490665,0.300599601,0.045523031,0.346122632,-0.079527919,0.514417894,0.736691284,0.593945813,0.22227339
Grasslands,HG,3,17,4.441756974,0.898495193,1.736951233,0.623902768,2.360854001,0.232538849,0.020218554,0.252757404,0.082350539,0.383254353,0.443467441,0.300903814,0.060213088
Grasslands,HG,3,18,4.39885794,0.515402546,1.70837786,0.671168274,2.379546134,0.274326669,0.047324214,0.321650883,0.023919393,0.49183246,0.533447281,0.467913067,0.041614821
Grasslands,MG,2,19,4.402531221,1.025594758,1.70837786,0.633427946,2.341805806,0.299501257,0.015071131,0.314572388,0.193474682,0.744238705,0.851456885,0.550764023,0.10721818
Grasslands,HG,3,20,3.909516066,0.650778722,2.033397603,0.546819226,2.58021683,0.903723309,0.171074274,1.074797583,-0.165236437,0.270759708,0.295196553,0.435996144,0.024436845
Shrublands,HG,3,1,3.526721636,-0.180497266,1.701105101,0.696790172,2.397895273,0.546652183,0.087430019,0.634082202,-0.335045896,0.08513976,0.331121159,0.420185657,0.245981398
Shrublands,MG,2,2,3.294589422,0.840132043,1.922787732,0.57864822,2.501435952,0.833304189,0.131022553,0.964326741,-0.154591729,0.430090156,0.980010156,0.584681884,0.54992
Shrublands,MG,2,3,3.662104688,0.163455559,1.811562097,0.722134717,2.533696814,0.602103043,0.288296727,0.89039977,-0.19707169,0.511998402,0.951825238,0.709070092,0.439826836
Shrublands,HG,3,4,3.736218566,0.236975567,1.5518088,0.527632742,2.079441542,0.61444585,0.267563606,0.882009456,-0.209327852,0.248503725,0.485310911,0.457831577,0.236807186
Shrublands,HG,3,5,3.013865371,0.219418487,1.671473303,0.779531795,2.451005098,0.617996195,0.198405091,0.816401286,-0.183743048,0.526567585,0.799356488,0.710310633,0.272788903
Shrublands,MG,2,6,4.225371947,0.491788132,1.678963975,0.603418411,2.282382386,0.487946147,0.084522713,0.57246886,0.068580113,0.380415311,0.456501473,0.311835198,0.076086163
Shrublands,MG,2,7,4.113089931,0.370265795,1.899117988,0.66583137,2.564949357,0.586122264,0.249996043,0.836118307,-0.047641409,0.52215791,0.591859205,0.569799319,0.069701295
Shrublands,HG,3,8,3.992390645,1.09075329,1.715598108,0.769308542,2.48490665,0.572375559,0.195913611,0.76828917,0.047787087,0.534048026,0.780255044,0.486260939,0.246207018
Shrublands,MG,2,9,4.214392586,0.129906433,1.979621206,0.645047386,2.624668592,0.457157159,0.134042158,0.591199317,0.012845,0.344850088,0.400239577,0.332005089,0.055389489
Shrublands,HG,3,10,3.945415421,0.51616201,1.771556762,0.679448336,2.451005098,0.533129069,0.253076157,0.786205226,-0.103896447,0.740339879,1.007659919,0.844236326,0.26732004
Shrublands,NG,1,11,3.746237334,0.499371773,1.979621206,0.585328151,2.564949357,0.831385354,0.264052905,1.09543826,-0.065247731,0.589928243,0.801881306,0.655175974,0.211953063
Shrublands,NG,1,12,3.943558106,0.177370104,1.85629799,0.594707108,2.451005098,0.726468084,0.306345249,1.032813333,-0.221976011,0.143279891,0.308138049,0.365255902,0.164858157
Shrublands,NG,1,13,4.391753921,0.810406969,1.729884066,0.70372929,2.433613355,0.370072188,0.010460355,0.380532543,0.313352216,0.697671937,0.842041979,0.384319721,0.144370042
Shrublands,NG,1,14,4.336506773,0.436934353,1.811562097,0.567984038,2.379546134,0.389735009,0.084357347,0.474092356,0.133097882,0.478522217,0.628727734,0.345424335,0.150205517
Shrublands,NG,1,15,4.439904547,0.789425782,1.560247668,0.519193873,2.079441542,0.334699401,0.044472268,0.379171669,0.388425376,0.658728914,0.82466061,0.270303538,0.165931696
