biome_types,effects,variable,slope,se,df,t value,p,r2m,r2c,ci
Grasslands,Dominants abundance,dominants_sta,0.54931078,0.568056753,11,0.966999825,0.354324107,0.050173012,0.315116751,1.113391236
Grasslands,Dominants abundance,alphaD2,-1.015732573,0.13249363,11,-7.666274767,9.77E-06,0.807617704,0.807617704,0.259687515
Grasslands,Dominants abundance,betaD2,-0.275090694,0.063941359,11,-4.302234064,0.001251277,0.491525848,0.664044725,0.125325064
Grasslands,Dominants abundance,gammaD2,-1.308883205,0.104868908,11,-12.48113697,7.76E-08,0.917539754,0.917539754,0.20554306
Grasslands,Dominants abundance,spe_sta,0.719883893,0.18724339,11,3.844642498,0.002724589,0.513572642,0.513572643,0.366997044
Grasslands,Dominants abundance,alpha_sta,0.402284985,0.36418239,11,1.104625035,0.292898571,0.028303853,0.71540804,0.713797484
Grasslands,Dominants abundance,gamma_sta,0.699817351,0.570035666,11,1.227672921,0.245193288,0.039288451,0.679469873,1.117269906
Grasslands,Dominants abundance,spe_asy,-0.276140742,0.263512017,11,-1.047924662,0.317153096,0.017347431,0.807073354,0.516483554
Grasslands,Dominants abundance,spa_asy,0.30868143,0.298564053,11,1.03388679,0.323384535,0.05250457,0.379033793,0.585185543
Shrublands,Dominants abundance,dominants_sta,0.252038733,0.214406456,11,1.175518392,0.264603761,0.089836013,0.089836013,0.420236654
Shrublands,Dominants abundance,alphaD2,-0.264306847,0.073575861,11,-3.592303844,0.004226527,0.482548373,0.507349508,0.144208687
Shrublands,Dominants abundance,betaD2,-0.093610443,0.059614601,11,-1.570260323,0.144654435,0.14974856,0.14974856,0.116844619
Shrublands,Dominants abundance,gammaD2,-0.347575817,0.117334973,11,-2.962252494,0.012923133,0.385289265,0.385289265,0.229976547
Shrublands,Dominants abundance,spe_sta,0.379101237,0.086135003,11,4.401244849,0.001061005,5.80E-01,0.580473514,0.168824605
Shrublands,Dominants abundance,alpha_sta,0.121871076,0.124304707,11,0.980422052,0.347949281,0.064247897,0.064247897,0.243637225
Shrublands,Dominants abundance,gamma_sta,-0.102649103,0.157513168,11,-0.651685851,0.527984874,0.02944218,0.02944218,0.308725809
Shrublands,Dominants abundance,spe_asy,-0.257230162,0.092426875,11,-2.783066751,0.017805979,0.356187469,0.356187469,0.181156674
Shrublands,Dominants abundance,spa_asy,-0.224520178,0.064931155,11,-3.457818959,0.005353709,0.460636313,0.460636313,0.127265064
Grasslands,Biodiversity,spe_sta,-0.565803964,0.186659026,11,-3.031216736,0.011424452,0.396246592,0.396246592,0.365851691
Grasslands,Biodiversity,alpha_sta,-0.54923138,0.286646228,11,-1.916060031,0.081696998,0.064618117,0.771057263,0.561826606
Grasslands,Biodiversity,spe_asy,-0.0252315,0.238825259,11,-0.105648371,0.917763307,0.000185134,0.784402952,0.468097508
Shrublands,Biodiversity,spe_sta,-0.859888449,0.226920363,11,-3.789384248,0.002997911,0.395195433,0.624434442,0.444763911
Shrublands,Biodiversity,alpha_sta,-0.336300861,0.340876392,11,-0.986577153,0.345053914,0.065004524,0.065004524,0.668117729
Shrublands,Biodiversity,spe_asy,0.576389045,0.270651151,11,2.129638253,0.056615121,0.235381168,0.279082932,0.530476256
Grasslands,Biodiversity,spa_asy,0.050399452,0.864657849,11,0.058288318,0.954564372,0.000202129,0.370188344,1.694729384
Shrublands,Biodiversity,spa_asy,0.316772645,0.373546019,11,0.848015048,0.414501369,0.048856797,0.048856797,0.732150197
Grasslands,Biodiversity,gamma_sta,-0.620546039,0.403213161,11,-1.539002442,0.152059245,0.058817779,0.690512928,0.790297796
Shrublands,Biodiversity,gamma_sta,0.073881989,0.291623119,11,0.253347502,0.804672251,0.004563717,0.004563717,0.571581314
